N,v,beta,T,i0,eps,J_v,J_beta,time_v,time_beta
150,0.8,1,5,1,0.001,"-1.5237067425000195","0.30367671786202255",8.090434,8.042241
150,0.8,1,10,1,0.001,"-1.5253459700813599","0.3039907256162655",9.004533,9.231000
150,0.8,1,15,1,0.001,"-1.525346329938393","0.3039907917826712",11.316416,11.200201
150,0.8,1,20,1,0.001,"-1.5253463299755854","0.3039907917892215",12.945987,13.341974
150,0.8,2,5,1,0.001,"-4.897768782936018","0.4815914568871982",8.341728,8.340434
150,0.8,2,10,1,0.001,"-4.9910682232015","0.48999428087814767",9.175725,9.243458
150,0.8,2,15,1,0.001,"-4.9913456674793855","0.4900171065386205",11.858071,12.116314
150,0.8,2,20,1,0.001,"-4.991345958152094","0.4900171285812105",14.615950,13.780206
150,0.8,4,5,1,0.001,"-23.19258293038251","1.0734190096046703",7.794385,9.082880
150,0.8,4,10,1,0.001,"-26.258719122072893","1.1880669930672827",9.317149,10.142799
150,0.8,4,15,1,0.001,"-26.300830420270316","1.189345093037586",10.599790,10.292947
150,0.8,4,20,1,0.001,"-26.3009893947006","1.18934914449631",12.707752,12.999914
150,0.8,8,5,1,0.001,"-102.54838647836806","1.9032953972732969",7.601994,7.831997
150,0.8,8,10,1,0.001,"-117.23075491210987","2.0155430979142963",9.527198,9.349580
150,0.8,8,15,1,0.001,"-117.45902923741447","2.0160208019275316",10.554353,10.616444
150,0.8,8,20,1,0.001,"-117.46013651236176","2.01602093070008",12.644891,13.209530
150,0.8,16,5,1,0.001,"-156.5670930412928","0.7697810242373038",8.683476,7.967590
150,0.8,16,10,1,0.001,"-156.78443695227529","0.6972192590612991",11.346579,10.706135
150,0.8,16,15,1,0.001,"-156.78770425336097","0.6967030037952071",11.104078,11.760968
150,0.8,16,20,1,0.001,"-156.7877477591768","0.6967018902450661",12.167130,12.532861
150,0.99,1,5,1,0.001,"-1.013538423450866","0.010094219537459814",8.151022,8.049609
150,0.99,1,10,1,0.001,"-1.0135384238760814","0.010094219541345595",9.628954,9.475026
150,0.99,1,15,1,0.001,"-1.0135384238760814","0.010094219541345595",11.517800,11.917431
150,0.99,1,20,1,0.001,"-1.0135384238760814","0.010094219541345595",12.097605,12.952508
150,0.99,2,5,1,0.001,"-2.0668510436949727","0.010244018363914087",8.060851,9.900318
150,0.99,2,10,1,0.001,"-2.066851065176234","0.010244018458838156",10.543076,10.523255
150,0.99,2,15,1,0.001,"-2.066851065176123","0.010244018458949178",12.287393,12.090609
150,0.99,2,20,1,0.001,"-2.066851065176123","0.010244018458949178",13.699868,14.455194
150,0.99,4,5,1,0.001,"-4.287563407744499","0.01050689140180694",7.350168,7.904677
150,0.99,4,10,1,0.001,"-4.287564262527854","0.010506893122985694",9.806679,9.511485
150,0.99,4,15,1,0.001,"-4.287564262527965","0.010506893123096717",11.641363,10.704601
150,0.99,4,20,1,0.001,"-4.287564262527965","0.010506893123096717",13.083048,12.675771
150,0.99,8,5,1,0.001,"-9.131232718632475","0.010871328923078849",7.489351,7.489793
150,0.99,8,10,1,0.001,"-9.131254159181589","0.010871346797114434",9.810525,8.998349
150,0.99,8,15,1,0.001,"-9.131254159183365","0.010871346797225456",11.695654,12.276339
150,0.99,8,20,1,0.001,"-9.131254159183365","0.010871346797225456",13.155532,13.081828
