beta_conf,v_conf,N,i0,T,v,beta,beta_grad,beta_grad_se,v_grad,v_grad_se,total_size_mean,total_size_se,N_samples
10,10,1000,1,10,0.9,2.7,0.9979256268624839,0.2722854094673945,-18.3816,3.770820582702218,2.4206,0.1444012283032023,10000
10,10,1000,1,10,0.95,2.7,0.2911446479524464,0.08724041405102849,-4.6953,1.03235801062287,1.3968,0.0535182342397394,10000
10,10,1000,1,10,0.99,2.7,0.03215580512728645,0.010350121428171348,-3.3966,0.5815500588006927,1.0451,0.005574020628827728,10000
10,10,1000,1,10,0.01,2.8,268.03716752877443,18.909645516361635,-1149.3495,169.25582513027143,532.7979,4.658612129406808,10000
10,10,1000,1,10,0.05,2.8,259.18166390488716,17.816529881160776,-1045.953,126.75420096290803,490.4154,4.490675281150049,10000
10,10,1000,1,10,0.1,2.8,242.6481222075615,16.684861816551503,-1138.4604,149.70419763754862,434.3205,4.271032766212875,10000
10,10,1000,1,10,0.15,2.8,237.34732771462117,15.384761079534293,-1110.6882,133.0837667401064,380.4373,4.0346656713510916,10000
10,10,1000,1,10,0.2,2.8,227.70430914927726,14.582198884154838,-925.9731,89.33046174725192,333.2656,3.801262512025779,10000
10,10,1000,1,10,0.25,2.8,186.35376227985708,12.983182491531116,-1105.1937,143.41917983747,285.4246,3.5270446943456206,10000
10,10,1000,1,10,0.3,2.8,172.1521423780041,11.756343040861745,-1003.5954,147.3745243040712,238.4294,3.224258939064078,10000
10,10,1000,1,10,0.35,2.8,155.70174658341426,10.141057088367532,-703.9953,47.215335366141,197.6377,2.9108970363148545,10000
10,10,1000,1,10,0.4,2.8,113.35823032092792,8.570934430450173,-913.7853,140.69086128688446,157.5646,2.5898922558426416,10000
10,10,1000,1,10,0.45,2.8,96.95580010624253,7.7531323903306575,-777.4218,109.12123051653798,127.5204,2.3195215145347627,10000
10,10,1000,1,10,0.5,2.8,76.39303354445177,6.354267014125883,-586.7127,63.286781635416155,96.429,1.9849432626338686,10000
10,10,1000,1,10,0.55,2.8,59.127386100579635,5.282410772204233,-351.5481,20.64450707321123,70.0602,1.6567876726168667,10000
10,10,1000,1,10,0.6,2.8,40.146674569205885,4.006728287647579,-310.4892,38.24052554852978,51.6046,1.369950204292194,10000
10,10,1000,1,10,0.65,2.8,30.98757019864692,3.1078708918564,-249.6501,28.127204191112913,35.8284,1.1066706227829186,10000
10,10,1000,1,10,0.7,2.8,18.565856569268135,2.138899207329082,-172.827,14.706310551736093,23.3027,0.8376481198619565,10000
10,10,1000,1,10,0.75,2.8,14.371645607384963,1.6245323891638555,-107.5923,11.60060356569346,14.4179,0.6127960654743029,10000
10,10,1000,1,10,0.8,2.8,8.677707249286797,1.1031316052863644,-75.6243,11.863773979145668,8.0781,0.4198689903242482,10000
10,10,1000,1,10,0.85,2.8,3.5641833909773863,0.7346781429861368,-37.3626,5.370776217255899,4.5739,0.2719113227795885,10000
10,10,1000,1,10,0.9,2.8,1.1361691467369222,0.3082616240887264,-15.3846,2.2641840078063713,2.6125,0.1589858547959614,10000
10,10,1000,1,10,0.95,2.8,0.41253110503554746,0.14373265604535485,-5.994,1.2780031946816728,1.464,0.06713211654720273,10000
10,10,1000,1,10,0.99,2.8,0.03251805596560968,0.00982029248219788,-3.2967,0.5901257084267509,1.0483,0.005911024024693358,10000
10,10,1000,1,10,0.01,2.9,248.2426312593755,18.69946505925066,-1115.883,142.69697054076255,552.6068,4.669769017161702,10000
10,10,1000,1,10,0.05,2.9,232.93763092424143,17.48728302448378,-1015.5834,105.71285738454942,509.9568,4.511215434874064,10000
10,10,1000,1,10,0.1,2.9,226.31920535885482,16.392810155674482,-1022.2767,115.17558001441483,455.28,4.30187988408018,10000
10,10,1000,1,10,0.15,2.9,230.79608329921444,15.12900848352117,-1064.6343,136.3793513760955,399.3684,4.0753173777408955,10000
10,10,1000,1,10,0.2,2.9,223.63913571126778,14.27403010191005,-1018.5804,111.72693971643287,350.4863,3.8532484650751972,10000
10,10,1000,1,10,0.25,2.9,184.09318253342826,13.005825527829678,-882.7164,81.86764880005477,302.3286,3.5861805826423647,10000
