beta,v,N,size,dv,db
3.8,0.3,1000,581.5585360851188,-1342.5299151148852,94.26642223560539
3.9,0.3,1000,590.5971085149395,-1326.3097510417874,86.6204403113619
4.0,0.3,1000,598.9046472871372,-1310.6371346598296,79.63533674368587
2.0,0.35,1000,116.28732722537588,-1253.1216254186047,349.1208646483586
2.1,0.35,1000,151.17666627281312,-1353.415041988615,346.92529096180317
2.2,0.35,1000,185.4002194252755,-1424.169768830441,336.504604688414
2.3,0.35,1000,218.3187312842026,-1472.7092941429817,321.2792651777111
2.4,0.35,1000,249.5708990004515,-1504.4716719853275,303.4732032458434
2.5,0.35,1000,278.9759573754167,-1523.5317239483525,284.5278652764054
2.6,0.35,1000,306.4697215281987,-1532.967233566922,265.3688385731926
2.7,0.35,1000,332.06230202245405,-1535.1191569757439,246.57968518954792
2.8,0.35,1000,355.81002212595973,-1531.778768783181,228.5164919939671
2.9,0.35,1000,377.79673430887567,-1524.323754930241,211.3840366882003
3.0,0.35,1000,398.1214087235005,-1513.8181887036237,195.2868046446183
3.1,0.35,1000,416.8899344085392,-1501.086663020794,180.26335372741192
3.2,0.35,1000,434.20976369761024,-1486.7697338507587,166.30955103293854
3.3,0.35,1000,450.18648110717857,-1471.3657160429161,153.39431343052212
3.4000000000000004,0.35,1000,464.92167580682974,-1455.2624221244064,141.47026428648115
3.5,0.35,1000,478.51169546201413,-1438.7614271941866,130.48092348977363
3.6,0.35,1000,491.04699294956424,-1422.0967357683812,120.36552369441213
3.7,0.35,1000,502.6118681237777,-1405.4492247987844,111.06219675552228
3.8,0.35,1000,513.2844687239418,-1388.9578778877258,102.51003997449476
3.9,0.35,1000,523.1369570319472,-1372.7285661994126,94.6504130763259
4.0,0.35,1000,532.235778227511,-1356.8409424738982,87.4277085951307
2.0,0.4,1000,59.04398573882807,-1017.0746528787445,275.6004029942096
2.1,0.4,1000,87.62244513306258,-1172.5431274556324,293.2873482572936
2.2,0.4,1000,117.26746606510572,-1287.664114570698,297.8777284896878
2.3,0.4,1000,146.91911549784675,-1372.062005251102,294.0513424577454
2.4,0.4,1000,175.90266656781776,-1432.92847636632,284.9393413549892
2.5,0.4,1000,203.80164733534158,-1475.6889997640496,272.64470100923535
2.6,0.4,1000,230.37313753886656,-1504.4716719853386,258.5807175585909
2.7,0.4,1000,255.4907173139599,-1522.4414191666642,243.69412377260875
2.8,0.4,1000,279.10574576379804,-1532.041157120408,228.61391018158827
2.9,0.4,1000,301.220926899339,-1535.1677682508637,213.75163243144107
3.0,0.4,1000,321.8721936165207,-1533.3018416474927,199.36963712399165
3.1,0.4,1000,341.11627060452537,-1527.6042363895522,185.6278294287761
3.2,0.4,1000,359.0221423421944,-1518.9885844493197,172.61594010231167
3.3,0.4,1000,375.66522222841,-1508.1761714179388,160.37590321889482
3.4000000000000004,0.4,1000,391.12339854518194,-1495.7377914741014,148.917434217435
3.5,0.4,1000,405.47438852281687,-1482.125891444515,138.2288989553977
3.6,0.4,1000,418.79400546284387,-1467.6994172396132,128.28490135581728
3.7,0.4,1000,431.1550629373888,-1452.7431351803157,119.05157247859647
3.8,0.4,1000,442.62672234496284,-1437.4827409251873,110.49024268688196
3.9,0.4,1000,453.27414733805983,-1422.0967357683808,102.55997285204343
4.0,0.4,1000,463.1583687147219,-1406.725806946779,95.21927886333644
2.0,0.45,1000,17.06278010410113,-630.8230497166189,164.9449486200197
2.1,0.45,1000,35.993775120896444,-866.327647304858,209.75544328417877
2.2,0.45,1000,58.36636015708277,-1046.2899716906536,235.04232921489893
2.3,0.45,1000,82.56409613198925,-1183.525553754226,247.1195471447109
2.4,0.45,1000,107.49517722634684,-1287.6641145706983,250.3000357448072
2.5,0.45,1000,132.42748327555606,-1366.0136099446058,247.55200087759133
2.6,0.45,1000,156.87710874446404,-1424.1697688304407,240.92933235087628
2.7,0.45,1000,180.53220005086578,-1466.4518989307808,231.85790531891246
2.8,0.45,1000,203.2004210670228,-1496.218329632263,221.32845008240074
2.9,0.45,1000,224.77242257112297,-1516.0973265530513,210.0279679424329
3.0,0.45,1000,245.1962695439855,-1528.1578957122113,198.43019103257924
3.1,0.45,1000,264.4594441503655,-1534.03734438565,186.85841782636874
3.2,0.45,1000,282.57613129932696,-1535.0373976859523,175.52951169623344
3.3,0.45,1000,299.57821569116345,-1532.1972218619173,164.58492616148217
3.4000000000000004,0.45,1000,315.50890363176387,-1526.3493296399631,154.11271402065174
3.5,0.45,1000,330.418211404874,-1518.1626867481718,144.1632189447487
