total_size_mean,total_size_sd,v_mean,v_sd,beta_mean,beta_sd,fd_v_mean,fd_v_sd,fd_beta_mean,fd_beta_sd,beta,v,N_samples,N,T,i0
1.0205,0.15059797475397868,-2.1978,46.80802254162663,0.010339540252339009,0.09089962780320592,-2.02,20.198029508830903,0.012,0.48977544650461985,2.1,0.99,10000,1000,10,1
436.1898,424.79698489509076,-1360.3383,14276.422899064471,529.4165386239864,2031.1511029890767,-1487.64,6987.179781466185,469.938,1512.0455232308425,2.2,0.01,10000,1000,10,1
378.2464,388.75830497500624,-1481.9166,14750.87443588029,501.11461379069385,1792.8884802794405,-1385.16,5460.372271277307,464.976,1297.1757883674027,2.2,0.05,10000,1000,10,1
308.461,340.0716699153283,-1164.5343,6292.606644711078,449.1794724442188,1517.0011418434804,-1354.76,5256.234026564476,444.652,1119.3462612173455,2.2,0.1,10000,1000,10,1
242.7497,288.957741633461,-1349.649,10287.313911558766,381.5326970516096,1247.1588845074477,-1308.86,5202.195285067487,403.89,923.6678537929167,2.2,0.15,10000,1000,10,1
183.0364,237.40581095466052,-1117.881,7227.989294967435,305.99985722058324,994.7282002821293,-1075.4,3213.067571701851,345.63,766.0373779564825,2.2,0.2,10000,1000,10,1
131.8527,187.64476918558108,-858.2409,5531.295550964024,233.94218428710815,773.7256731485878,-916.76,3148.856083066228,290.256,624.9654331587183,2.2,0.25,10000,1000,10,1
91.3219,142.5405481973112,-658.0413,3905.839976827874,169.0090356979742,577.3582964047123,-709.24,2160.1900991640646,206.234,438.40373747004344,2.2,0.3,10000,1000,10,1
60.3772,103.92310869176306,-495.2043,2938.1550455462148,115.40877701553674,412.2723544873926,-526.6,1886.5737080844744,151.58,380.98989347473906,2.2,0.35,10000,1000,10,1
38.0054,72.18953366548367,-361.0386,3445.084383836079,72.8049784790321,277.9285213470529,-368.22,1443.3247556371448,93.868,256.95797577839767,2.2,0.4,10000,1000,10,1
23.3403,48.2139865175034,-247.752,2564.7960964953254,44.257423417393255,181.43093978423795,-227.46,932.8799359496858,58.688,179.75536113002443,2.2,0.45,10000,1000,10,1
14.3203,31.228302994399165,-136.0638,1599.5565268029147,25.688385227479365,112.55853508177091,-137.64,791.7107495740469,32.346,114.80755359050269,2.2,0.5,10000,1000,10,1
8.9087,19.595284236519767,-88.1118,1469.3239169012525,14.21424716445952,68.18285665370995,-77.38,510.6490104182951,17.88,80.5262320452456,2.2,0.55,10000,1000,10,1
5.7083,12.027760020469314,-46.2537,601.3884988499238,7.551681146197851,38.355761309560215,-45.18,317.76227731826293,9.1,45.68192951122344,2.2,0.6,10000,1000,10,1
3.905,7.412433810834333,-26.5734,456.61330859250955,4.039566629193936,22.215424673889476,-26.14,204.36456857216902,4.538,29.26998854155775,2.2,0.65,10000,1000,10,1
2.8456,4.56497104481507,-13.2867,243.7417984456933,2.10526975905867,11.958445663341012,-12.98,104.482588315595,2.05,17.67112692707195,2.2,0.7,10000,1000,10,1
2.2167,2.873419758754366,-10.989,183.34404048868967,1.1381943827187189,5.849478602167101,-9.76,87.1407008818211,1.204,11.038232116458943,2.2,0.75,10000,1000,10,1
1.7783,1.809792559936083,-5.0949,91.96682164573461,0.594023004389168,2.865964210951475,-6.26,59.10297552722381,0.634,5.744679637230735,2.2,0.8,10000,1000,10,1
1.5005,1.1929793585808601,-5.0949,123.47057055091798,0.33042535545987484,1.5337605352953976,-5.12,44.33939781074865,0.338,4.050604490650003,2.2,0.85,10000,1000,10,1
1.2872,0.7543978791062446,-3.1968,71.97154757351,0.16615672257820216,0.7873526511398541,-4.46,39.398776965315,0.17,2.282897536490898,2.2,0.9,10000,1000,10,1
1.1239,0.41514911778781366,-1.998,44.63417095591327,0.06280210273218499,0.32250673392980717,-3.12,28.815770592914678,0.04,0.9372768261217592,2.2,0.95,10000,1000,10,1
