beta_conf,v_conf,N,i0,T,v,beta,beta_grad,beta_grad_se,v_grad,v_grad_se,total_size_mean,total_size_se,N_samples
10,10,1000,1,10,0.1,2.8,235.45330838841977,11.498752900705925,-1008.6903,71.85368846184288,440.12755,3.037488991094194,20000
10,10,1000,1,10,0.1,2.9,221.7194528832689,11.335606635041406,-903.7953,58.113600533982115,459.2583,3.055794725292531,20000
10,10,1000,1,10,0.1,3.0,214.0867730239455,11.16602129381028,-1041.10785,81.38907959775565,476.81845,3.0672773193807523,20000
10,10,1000,1,10,0.1,3.1,205.16988230944798,11.08062240055151,-1073.67525,91.5488419517828,493.89975,3.0723759860581614,20000
10,10,1000,1,10,0.1,3.2,193.01875147287203,10.836330218356649,-1099.1997,99.70265253486045,509.3492,3.076127122839983,20000
10,10,1000,1,10,0.1,3.3,185.25612387782687,10.530040637759955,-1093.7052,107.84559362205223,524.10285,3.0748164967064775,20000
10,10,1000,1,10,0.1,3.4000000000000004,177.1701333437786,10.337590825375857,-987.26175,68.20382067439166,538.37755,3.0679281379218857,20000
10,10,1000,1,10,0.1,3.5,169.15212086414633,10.154616534885475,-1064.98395,104.49285185609143,551.005,3.059656281116872,20000
10,10,1000,1,10,0.1,3.6,160.34391830133072,9.949222488442725,-1050.19875,106.94916370020492,562.6095,3.0506840493807217,20000
10,10,1000,1,10,0.1,3.7,146.23301501074621,9.741461830696121,-1371.17745,151.3176860221178,573.5601,3.038116864457917,20000
10,10,1000,1,10,0.1,3.8,136.7879916630414,9.479468468213758,-1057.1418,95.78993347905839,583.83475,3.0249104360756185,20000
10,10,1000,1,10,0.1,3.9,123.33592883981318,9.26129321349445,-1270.67805,144.40488635295566,594.25695,3.0092650631251945,20000
10,10,1000,1,10,0.1,4.0,110.79954598221285,9.091002711748896,-1108.44045,115.17671574745566,604.197,2.9914703390288633,20000
10,10,1000,1,10,0.15,2.0,223.49361978303423,10.502733838417019,-692.9064,43.19060025705223,203.5953,2.2696039799944834,20000
10,10,1000,1,10,0.15,2.1,228.24713530665497,10.872682450871377,-967.9311,91.31113769097918,229.4439,2.3972359728768846,20000
10,10,1000,1,10,0.15,2.2,234.10846537674092,11.116745692887552,-874.8243,64.8717887418345,254.7033,2.5073811480240837,20000
10,10,1000,1,10,0.15,2.3,240.7796962675429,11.191903274279246,-890.75835,75.90950130894166,279.90675,2.6003658651915726,20000
10,10,1000,1,10,0.15,2.4,244.20169855511048,11.203654759516937,-965.9331,66.12968249947669,303.8057,2.678581163083893,20000
10,10,1000,1,10,0.15,2.5,244.21317297732733,11.141148954121308,-1012.83615,88.20390838649324,327.10935,2.745283893117717,20000
10,10,1000,1,10,0.15,2.6,241.07614163024556,11.093206611903177,-933.9651,69.0848568154495,348.44085,2.7985816966884363,20000
10,10,1000,1,10,0.15,2.7,234.14699873145437,10.91976484852422,-1115.0838,99.78951830246015,369.8229,2.8397704249785454,20000
10,10,1000,1,10,0.15,2.8,225.47375302886198,10.822523576680346,-907.04205,60.915369441839566,390.0614,2.8740310452784708,20000
10,10,1000,1,10,0.15,2.9,214.85738094201218,10.6521297976989,-1207.1916,112.8196409396589,408.66065,2.899500315516944,20000
10,10,1000,1,10,0.15,3.0,206.87259224396414,10.407120057708097,-1113.43545,101.00256842985794,426.18975,2.9189564218358077,20000
10,10,1000,1,10,0.15,3.1,197.34803746450748,10.232343623330502,-1085.36355,98.3745114646287,443.1101,2.932915356522231,20000
10,10,1000,1,10,0.15,3.2,183.13567915652925,10.018979792476161,-901.04805,52.19230812546456,459.47425,2.9397347778116085,20000
10,10,1000,1,10,0.15,3.3,169.16145715957785,9.8362903207417,-989.35965,74.57534314115038,473.4417,2.9453807926066493,20000
